Date,Price,Open,High,Low,Vol.,Change %,,,Date,Price,Change %,Helper
3/31/2020,130.4,132.03,137.39,129.82,111.41M,0.94%,,,4/23/2019,268.71,1.40%,221
3/30/2020,129.19,130.4,135.15,122.55,128.88M,-5.58%,,,4/24/2019,268.96,0.09%,220
3/27/2020,136.82,145.26,145.26,136.37,132.12M,-9.19%,,,4/25/2019,265.37,-1.33%,219
3/26/2020,150.66,153.55,164.13,146.68,206.54M,2.34%,,,4/26/2019,266.25,0.33%,218
3/25/2020,147.22,152.58,156.55,135.68,259.58M,10.01%,,,4/29/2019,270.04,1.42%,217
3/24/2020,133.82,129.69,140.49,123.6,243.89M,20.68%,,,4/30/2019,272.1,0.76%,216
3/23/2020,110.89,109.25,112.76,102.24,163.36M,4.09%,,,5/1/2019,269.13,-1.09%,215
3/20/2020,106.53,110.64,123.75,104.93,193.15M,2.18%,,,5/2/2019,269.55,0.16%,214
3/19/2020,104.26,113.42,115.02,99.33,186.65M,-8.48%,,,5/3/2019,271.05,0.56%,213
3/18/2020,113.92,133.06,133.06,97.52,221.45M,-20.31%,,,5/6/2019,270.13,-0.34%,212
3/17/2020,142.96,152.55,161.48,139.64,145.71M,-5.34%,,,5/7/2019,265.27,-1.80%,211
3/16/2020,151.03,148.77,158.81,135.77,197.12M,-8.04%,,,5/8/2019,263.36,-0.72%,210
3/13/2020,164.24,164.06,164.68,146.65,161.29M,11.63%,,,5/9/2019,263.28,-0.03%,209
3/12/2020,147.13,166.77,167.23,146.77,155.69M,-19.61%,,,5/10/2019,264.37,0.41%,208
3/11/2020,183.01,191.62,191.62,179.11,115.81M,-5.92%,,,5/13/2019,255.32,-3.42%,207
3/10/2020,194.53,188.95,196.85,177.53,136.89M,6.97%,,,5/14/2019,258.43,1.22%,206
3/9/2020,181.86,185.72,189.7,178.7,113.89M,-5.75%,,,5/15/2019,257.78,-0.25%,205
3/6/2020,192.95,181.99,199.89,180.28,134.07M,1.40%,,,5/16/2019,259.56,0.69%,204
3/5/2020,190.29,199.36,199.36,189.41,116.49M,-8.56%,,,5/17/2019,257.06,-0.96%,203
3/4/2020,208.11,203.7,208.5,197.78,102.89M,3.99%,,,5/20/2019,254.85,-0.86%,202
3/3/2020,200.12,214.6,215.05,199.26,94.27M,-3.71%,,,5/21/2019,259.03,1.64%,201
3/2/2020,207.83,206.33,208.01,196.26,99.90M,0.76%,,,5/22/2019,254.08,-1.91%,200
2/28/2020,206.26,209.88,212.67,202.6,98.14M,-3.68%,,,5/23/2019,251.46,-1.03%,199
2/27/2020,214.15,213.23,226.93,206.58,93.55M,-4.48%,,,5/24/2019,250.98,-0.19%,198
