Date,Price,Open,High,Low,Vol.,Change %,,,,Change %,Helper
3/6/2020,338.78,336.95,339.88,326.23,132.74M,-0.77%,,,,0.37%,221
3/5/2020,341.41,342.01,346.06,337.52,106.33M,-1.63%,,,,0.55%,220
3/4/2020,347.07,332.01,347.26,332.01,96.88M,5.69%,,,,0.43%,219
3/3/2020,328.38,331.94,339.2,327.02,134.65M,-1.16%,,,,0.16%,218
3/2/2020,332.25,315.17,332.64,315,131.22M,5.86%,,,,-0.63%,217
2/28/2020,313.85,317.39,317.39,306.4,201.11M,-3.32%,,,,1.67%,216
2/27/2020,324.63,338.96,340.43,324.61,124.37M,-4.69%,,,,-1.06%,215
2/26/2020,340.61,344.25,347.17,340.54,93.81M,-0.97%,,,,-0.28%,214
2/25/2020,343.93,351.91,352.52,343.54,87.00M,-2.16%,,,,0.65%,213
2/24/2020,351.54,354.37,356.01,351.48,84.36M,-1.16%,,,,-0.64%,212
2/21/2020,355.67,356.13,358,355.37,95.36M,-0.18%,,,,-0.31%,211
2/20/2020,356.32,355.25,356.57,353.61,71.80M,0.32%,,,,-1.38%,210
2/19/2020,355.2,357.4,358.09,355.18,64.84M,-1.09%,,,,-0.09%,209
2/18/2020,359.13,357.36,359.84,356.61,78.79M,0.79%,,,,1.73%,208
2/14/2020,356.33,354.41,356.63,354.15,67.23M,0.65%,,,,1.11%,207
2/13/2020,354.04,350.45,354.35,350.19,59.91M,1.02%,,,,-0.87%,206
2/12/2020,350.46,349.64,351.65,348.92,55.27M,0.02%,,,,-0.14%,205
2/11/2020,350.39,350,351.52,349.73,54.88M,0.38%,,,,0.58%,204
2/10/2020,349.06,348.38,349.06,347.11,52.62M,0.34%,,,,0.48%,203
2/7/2020,347.89,349.73,350.28,347.79,55.10M,-0.31%,,,,0.17%,202
2/6/2020,348.98,349.66,350.72,348.26,62.34M,-0.03%,,,,0.06%,201
2/5/2020,349.07,347.31,349.97,346.1,69.01M,0.42%,,,,0.82%,200
2/4/2020,347.61,351.04,352.09,347.4,75.65M,-1.03%,,,,0.82%,199
2/3/2020,351.22,350.74,351.58,349.95,67.83M,0.33%,,,,-0.21%,198
1/31/2020,350.08,351.16,352.39,348.35,95.88M,-0.44%,,,,-1.61%,197
1/30/2020,351.64,348.3,351.93,347.42,64.03M,0.89%,,,,-1.34%,196
1/29/2020,348.53,347.83,349.06,346.48,57.84M,0.30%,,,,-0.14%,195
1/28/2020,347.48,346.54,349.07,345.82,64.09M,0.37%,,,,0.44%,194
1/27/2020,346.2,346.83,349.24,345.3,63.08M,-0.30%,,,,1.03%,193
1/24/2020,347.25,345.69,348.27,344.81,62.98M,0.33%,,,,0.04%,192
1/23/2020,346.11,342.8,346.18,342.72,69.87M,0.92%,,,,2.14%,191
1/22/2020,342.96,342.84,344.04,342.59,78.68M,0.30%,,,,0.44%,190
1/21/2020,341.95,339.58,342.22,338.35,86.75M,0.84%,,,,-0.77%,189
1/17/2020,339.11,336.74,339.4,335.68,77.24M,0.76%,,,,-0.60%,188
1/16/2020,336.55,334.84,336.92,334.68,63.74M,0.61%,,,,-0.69%,187
1/15/2020,334.52,330.89,335.03,330.89,62.17M,1.41%,,,,1.33%,186
1/14/2020,329.88,328.81,329.95,327.45,69.34M,0.28%,,,,0.15%,185
1/13/2020,328.97,326.82,329.9,326.75,62.20M,0.66%,,,,0.99%,184
1/10/2020,326.82,326.7,328,326.53,67.78M,0.24%,,,,-0.34%,183
1/9/2020,326.03,323.9,326.4,323.76,61.00M,0.52%,,,,-0.31%,182
1/8/2020,324.33,324.62,325.67,323.8,71.57M,0.00%,,,,0.81%,181
1/7/2020,324.34,324.23,324.55,322.65,65.31M,-0.20%,,,,0.54%,180
1/6/2020,324.98,324.37,325.76,323.68,64.74M,0.25%,,,,0.47%,179
1/3/2020,324.18,323.33,325.68,323.32,63.02M,0.11%,,,,0.02%,178
1/2/2020,323.82,328.65,328.65,322.7,70.75M,-1.38%,,,,-0.62%,177
12/31/2019,328.36,326.84,328.46,326.33,61.44M,0.52%,,,,-2.15%,176
12/30/2019,326.67,325.86,326.74,325.06,49.04M,-0.05%,,,,0.13%,175
12/27/2019,326.82,325.95,326.84,325.36,44.99M,0.26%,,,,0.52%,174
12/26/2019,325.96,325.51,326.28,324.72,38.67M,0.18%,,,,-0.31%,173
12/24/2019,325.36,325.04,325.59,323.74,21.56M,0.10%,,,,1.24%,172
12/23/2019,325.02,328.41,328.91,324.21,66.26M,-0.98%,,,,0.84%,171
12/20/2019,328.25,327.79,329.88,325.9,157.44M,0.78%,,,,-0.17%,170
12/19/2019,325.71,325.73,326.36,323.93,94.49M,-0.06%,,,,0.11%,169
12/18/2019,325.89,325.04,326.28,323.06,96.58M,0.43%,,,,0.06%,168
12/17/2019,324.48,323.77,326.52,323.33,90.63M,0.24%,,,,0.32%,167
12/16/2019,323.71,320.33,323.71,319.56,93.07M,1.29%,,,,0.04%,166
12/13/2019,319.58,317.01,320.01,315.92,91.48M,0.84%,,,,-0.64%,165
12/12/2019,316.92,318.23,319.28,315.7,82.74M,-0.49%,,,,0.37%,164
12/11/2019,318.48,317.61,318.92,316.82,74.32M,0.33%,,,,-0.57%,163
12/10/2019,317.43,317.75,318.17,316.76,70.99M,-0.04%,,,,0.43%,162
12/9/2019,317.56,319.3,319.39,317.11,62.59M,-0.49%,,,,0.79%,161
12/6/2019,319.12,319.45,320.81,318.95,63.17M,-0.22%,,,,-1.45%,160
12/5/2019,319.83,319.47,319.9,318.04,64.17M,0.02%,,,,-0.18%,159
12/4/2019,319.77,316.81,320.12,316.8,73.95M,0.72%,,,,-0.61%,158
12/3/2019,317.48,316.79,317.79,316.44,74.96M,0.50%,,,,0.07%,157
12/2/2019,315.9,317.56,317.66,315.7,74.17M,-0.77%,,,,-0.30%,156
11/29/2019,318.36,319.34,320.59,318.12,35.94M,-0.14%,,,,0.41%,155
11/27/2019,318.81,318.57,319.07,317.18,67.51M,0.09%,,,,0.49%,154
11/26/2019,318.51,317.38,318.83,317.04,112.46M,0.38%,,,,-0.77%,153
11/25/2019,317.3,318.59,319.56,316.65,85.31M,-0.37%,,,,-0.52%,152
11/22/2019,318.47,319.19,319.25,316.13,73.58M,0.03%,,,,1.01%,151
11/21/2019,318.39,319.27,319.69,317.3,81.78M,-0.37%,,,,0.05%,150
11/20/2019,319.57,317.62,319.88,317.27,105.60M,0.63%,,,,-1.51%,149
11/19/2019,317.58,317.3,319.3,316.15,93.37M,-0.25%,,,,1.30%,148
11/18/2019,318.39,318.46,321,317.86,83.92M,0.17%,,,,0.22%,147
11/15/2019,317.84,316.97,317.85,315.93,88.90M,0.26%,,,,1.02%,146
11/14/2019,317,316.29,318.53,315.84,87.15M,0.23%,,,,0.04%,145
11/13/2019,316.28,312.4,316.91,312.39,75.39M,1.47%,,,,-0.29%,144
11/12/2019,311.71,311.25,312.26,310.79,70.06M,0.25%,,,,0.16%,143
11/11/2019,310.94,313.1,313.43,310.68,65.38M,-0.68%,,,,-0.94%,142
11/8/2019,313.06,313.47,314.59,311.56,81.16M,-0.38%,,,,1.26%,141
11/7/2019,314.25,317.19,317.27,312.23,101.77M,-1.35%,,,,0.36%,140
11/6/2019,318.54,318.25,320.05,317.84,83.74M,0.26%,,,,0.69%,139
11/5/2019,317.71,319.54,320.41,316.82,91.74M,-1.02%,,,,-0.18%,138
11/4/2019,321,325.09,325.09,319.78,80.97M,-1.28%,,,,0.67%,137
11/1/2019,325.17,326.19,327.22,324.59,68.67M,-0.21%,,,,0.07%,136
10/31/2019,325.85,324.55,326.4,323.45,84.64M,0.46%,,,,-1.05%,135
10/30/2019,324.36,321.65,325.1,321.55,76.88M,0.86%,,,,1.18%,134
10/29/2019,321.58,320.91,322.13,320.03,72.15M,0.11%,,,,0.14%,133
10/28/2019,321.23,324.1,324.71,320.8,72.27M,-1.31%,,,,-0.26%,132
10/25/2019,325.49,329.58,329.58,324.32,73.42M,-1.09%,,,,0.64%,131
10/24/2019,329.07,327.88,329.53,327.61,64.81M,0.39%,,,,0.05%,130
10/23/2019,327.78,327.2,328.63,326.45,73.12M,0.37%,,,,1.75%,129
10/22/2019,326.58,325.72,328.02,325.09,64.85M,0.45%,,,,0.15%,128
10/21/2019,325.13,324.03,325.28,323,56.14M,0.37%,,,,-1.19%,127
10/18/2019,323.94,322.54,324.57,321.33,83.22M,0.37%,,,,-0.33%,126
10/17/2019,322.76,321.85,323.47,321.21,71.09M,0.23%,,,,-0.62%,125
10/16/2019,322.03,320.77,322.14,319.61,81.15M,0.24%,,,,0.10%,124
10/15/2019,321.27,322.38,323.23,320.49,64.04M,-0.30%,,,,0.98%,123
10/14/2019,322.23,325.12,325.24,321.42,58.80M,-0.67%,,,,0.14%,122
