Date,Price,Open,High,Low,Vol.,Change %,,,,Change %,Helper
3/6/2020,238.52,237.34,239.41,230.67,97.20M,-1.69%,,,,1.12%,221
3/5/2020,242.63,244.54,246.11,239.96,82.26M,-2.36%,,,,0.77%,220
3/4/2020,248.49,241.5,248.5,241.5,81.57M,3.99%,,,,-0.18%,219
3/3/2020,238.96,239.38,244.96,236.84,106.56M,-0.10%,,,,0.68%,218
3/2/2020,239.21,228.87,239.24,228.56,104.63M,5.05%,,,,-1.06%,217
2/28/2020,227.7,229.1,230.11,221.33,149.49M,-2.53%,,,,1.19%,216
2/27/2020,233.62,243.03,244.34,233.61,114.41M,-5.59%,,,,0.04%,215
2/26/2020,247.45,249.85,252.09,247.25,83.40M,-0.88%,,,,0.15%,214
2/25/2020,249.64,257.18,257.85,249.01,86.35M,-2.57%,,,,0.66%,213
2/24/2020,256.23,257,259.04,255.22,68.36M,-1.34%,,,,-0.43%,212
2/21/2020,259.71,258.17,260.21,258.17,71.91M,0.38%,,,,-1.78%,211
2/20/2020,258.73,256.21,258.79,255.35,65.71M,1.15%,,,,0.05%,210
2/19/2020,255.78,259.46,259.46,255.78,60.01M,-1.36%,,,,0.33%,209
2/18/2020,259.31,259.5,259.89,257.85,53.22M,-0.15%,,,,1.13%,208
2/14/2020,259.71,257.32,259.71,256.95,48.95M,1.11%,,,,0.00%,207
2/13/2020,256.87,254.91,257.31,254.91,54.30M,0.50%,,,,0.35%,206
2/12/2020,255.58,254.17,256.03,253.2,61.10M,0.67%,,,,0.64%,205
2/11/2020,253.88,253.09,255.58,253.09,53.74M,1.22%,,,,0.53%,204
2/10/2020,250.82,248.67,250.83,248.45,46.48M,1.23%,,,,-0.17%,203
2/7/2020,247.78,248.03,248.13,247.22,41.08M,0.05%,,,,-1.62%,202
2/6/2020,247.66,247.05,248.37,247.05,41.03M,0.40%,,,,0.84%,201
2/5/2020,246.67,247.07,247.68,246.09,52.23M,-0.07%,,,,0.41%,200
2/4/2020,246.84,244.69,247.82,244.17,58.17M,1.19%,,,,0.51%,199
2/3/2020,243.94,244.46,245.97,243.56,77.75M,0.13%,,,,0.15%,198
1/31/2020,243.62,246.52,246.67,242.91,88.03M,-1.36%,,,,-1.10%,197
1/30/2020,246.98,245.36,247.23,245.26,62.71M,0.26%,,,,-1.16%,196
1/29/2020,246.33,248.59,248.83,246.25,52.87M,-0.63%,,,,0.65%,195
1/28/2020,247.88,247.39,248.75,246.95,49.09M,0.30%,,,,0.77%,194
1/27/2020,247.14,246.5,247.86,246.47,51.32M,-0.42%,,,,0.44%,193
1/24/2020,248.17,248.91,249.54,247.34,44.93M,-0.23%,,,,-0.56%,192
1/23/2020,248.75,246.59,248.79,245.74,43.17M,0.97%,,,,2.33%,191
1/22/2020,246.37,249.04,249.53,245.9,49.59M,-0.79%,,,,0.15%,190
1/21/2020,248.33,245.96,248.44,245.36,58.57M,1.07%,,,,0.26%,189
1/17/2020,245.7,245.52,246.61,245.18,60.55M,0.13%,,,,-0.30%,188
1/16/2020,245.37,243.98,245.38,243.24,44.47M,0.79%,,,,0.18%,187
1/15/2020,243.44,242.34,243.96,242.31,50.56M,0.77%,,,,0.26%,186
1/14/2020,241.57,242.46,242.47,240.28,50.13M,-0.49%,,,,0.09%,185
1/13/2020,242.77,240.11,242.77,240.11,56.57M,1.24%,,,,0.33%,184
1/10/2020,239.8,238.22,239.95,237.57,54.61M,0.95%,,,,1.12%,183
1/9/2020,237.55,237.23,238.11,236.92,43.96M,0.06%,,,,-0.34%,182
1/8/2020,237.4,236.34,238.05,235.9,55.24M,0.42%,,,,0.68%,181
1/7/2020,236.4,238.1,238.1,235.21,51.25M,-1.20%,,,,0.53%,180
1/6/2020,239.26,238.69,240.03,238.27,48.10M,0.08%,,,,-1.10%,179
1/3/2020,239.06,235.84,239.55,235.84,52.06M,0.81%,,,,-0.46%,178
1/2/2020,237.14,241.09,241.09,236.39,68.50M,-1.32%,,,,-1.35%,177
12/31/2019,240.32,238.47,240.35,238.29,43.62M,0.64%,,,,-1.96%,176
12/30/2019,238.8,238.56,239.06,237.62,32.97M,-0.13%,,,,0.73%,175
12/27/2019,239.11,239.07,239.28,238.09,27.26M,0.35%,,,,0.30%,174
12/26/2019,238.28,237.31,238.29,236.84,26.56M,0.54%,,,,-0.29%,173
12/24/2019,236.99,236.79,237.47,236.12,13.71M,0.17%,,,,1.82%,172
12/23/2019,236.59,238.31,238.76,236.21,36.25M,-0.54%,,,,1.47%,171
12/20/2019,237.88,237.54,238.68,236.96,137.48M,0.66%,,,,-0.57%,170
12/19/2019,236.33,233.62,236.35,233.55,62.34M,1.07%,,,,0.37%,169
12/18/2019,233.83,230.97,234.38,230.97,64.52M,1.33%,,,,0.52%,168
12/17/2019,230.77,233.89,234.02,230.38,70.72M,-1.16%,,,,0.52%,167
12/16/2019,233.47,232.33,234,230.54,73.27M,0.76%,,,,-1.21%,166
12/13/2019,231.71,231.3,232.27,229.6,78.85M,0.18%,,,,-0.39%,165
12/12/2019,231.3,234.39,235.05,230.74,69.90M,-1.45%,,,,0.12%,164
12/11/2019,234.7,236.78,236.78,233.73,57.01M,-0.76%,,,,-0.18%,163
12/10/2019,236.49,238.26,238.8,235.75,52.88M,-0.68%,,,,-0.40%,162
12/9/2019,238.11,238,238.66,237.03,41.88M,0.13%,,,,-0.15%,161
12/6/2019,237.79,238,238.81,237.55,47.03M,0.10%,,,,-1.69%,160
12/5/2019,237.55,236.97,237.56,236.02,49.19M,0.05%,,,,-0.04%,159
12/4/2019,237.42,235.17,237.94,235.17,54.46M,0.60%,,,,1.02%,158
12/3/2019,236,234.36,236.53,234.36,59.86M,0.74%,,,,-0.07%,157
12/2/2019,234.26,238.09,238.4,234.24,54.40M,-1.75%,,,,-0.48%,156
11/29/2019,238.43,239.45,240.36,238.36,27.70M,-0.44%,,,,0.33%,155
11/27/2019,239.49,238.64,239.52,237.71,51.50M,0.32%,,,,0.46%,154
11/26/2019,238.72,235.81,238.74,235.63,105.97M,1.44%,,,,0.89%,153
11/25/2019,235.33,235.77,237.13,235.11,54.57M,0.06%,,,,-0.30%,152
11/22/2019,235.2,237.15,237.3,234.24,45.74M,-0.54%,,,,0.22%,151
11/21/2019,236.48,239.06,239.24,236.39,50.01M,-1.39%,,,,0.76%,150
11/20/2019,239.81,239.79,240.36,238.37,53.76M,0.03%,,,,-1.95%,149
11/19/2019,239.74,239.72,240.32,238.84,49.29M,0.18%,,,,1.18%,148
11/18/2019,239.3,238.36,240.38,238.21,44.55M,0.50%,,,,0.93%,147
11/15/2019,238.11,237,238.11,236.46,52.50M,0.58%,,,,1.57%,146
11/14/2019,236.73,235.07,236.75,234.91,47.62M,0.84%,,,,0.07%,145
11/13/2019,234.76,232.64,235.25,232.6,51.57M,1.07%,,,,-0.26%,144
11/12/2019,232.27,234.31,235.52,232.07,56.81M,-0.79%,,,,0.18%,143
11/11/2019,234.13,233.37,234.9,233.37,43.75M,0.22%,,,,-1.58%,142
11/8/2019,233.61,233.58,235.25,233.05,49.40M,-0.23%,,,,1.34%,141
11/7/2019,234.16,235.85,235.92,233.27,59.98M,-1.08%,,,,0.63%,140
11/6/2019,236.71,236.49,237.75,235.86,60.53M,0.41%,,,,0.90%,139
11/5/2019,235.74,238.68,238.77,234.33,84.83M,-1.76%,,,,-0.81%,138
11/4/2019,239.97,241.94,241.94,239.63,56.45M,-1.05%,,,,0.50%,137
11/1/2019,242.52,243.5,244.26,240.09,59.19M,-0.28%,,,,0.43%,136
10/31/2019,243.21,244.54,244.66,242.46,71.92M,-0.36%,,,,-1.29%,135
10/30/2019,244.09,242.99,244.09,240.99,65.47M,0.62%,,,,1.02%,134
10/29/2019,242.59,241.68,243.96,241.68,62.41M,0.38%,,,,-0.39%,133
10/28/2019,241.66,243.58,243.58,241.29,74.78M,-1.08%,,,,0.34%,132
10/25/2019,244.29,246.82,246.82,243.79,50.73M,-1.30%,,,,0.73%,131
10/24/2019,247.52,248.57,248.57,246.65,44.15M,-0.28%,,,,0.09%,130
10/23/2019,248.21,247.8,248.68,246.2,51.31M,0.17%,,,,1.31%,129
10/22/2019,247.78,249.29,249.51,247.56,42.64M,-0.39%,,,,0.85%,128
