Date,Price,Open,High,Low,Vol.,Change %
3/31/2020,223.4,219.81,230.63,219.05,417.28M,1.63%
3/30/2020,219.81,217.56,221.96,208.26,423.43M,1.03%
3/27/2020,217.56,233.76,233.76,216.33,389.15M,-6.93%
3/26/2020,233.76,220.02,237.74,219.72,442.39M,6.24%
3/25/2020,220.02,210.56,230.58,205.83,466.20M,4.49%
3/24/2020,210.56,181.03,211.68,181.03,462.39M,16.31%
3/23/2020,181.03,193.93,193.93,178.04,414.42M,-6.65%
3/20/2020,193.93,192.08,201.48,186.26,590.40M,0.96%
3/19/2020,192.08,179.94,193.26,173.18,485.32M,6.75%
3/18/2020,179.94,209.92,209.92,172.45,528.86M,-14.28%
3/17/2020,209.92,208.41,218.92,202.11,460.46M,0.72%
3/16/2020,208.41,241.29,241.29,207.53,454.27M,-13.63%
3/13/2020,241.29,221.69,241.29,215.83,579.72M,8.84%
3/12/2020,221.69,252.77,252.77,220.68,591.03M,-12.30%
3/11/2020,252.77,267.37,267.37,249.13,538.92M,-5.46%
3/10/2020,267.37,254.65,275.5,250.7,703.39M,5.00%
3/9/2020,254.65,318.64,318.64,253.12,879.81M,-20.08%
3/6/2020,318.64,337.59,337.59,314.02,423.05M,-5.61%
3/5/2020,337.59,350.25,350.25,331.75,285.70M,-3.61%
3/4/2020,350.25,342.64,350.45,342.33,241.31M,2.22%
3/3/2020,342.64,353.68,359.75,338.67,331.54M,-3.12%
3/2/2020,353.68,343.53,353.75,336.99,338.16M,2.95%
2/28/2020,343.53,339.3,343.55,325.99,459.40M,1.25%
2/27/2020,339.3,358.94,358.94,339.2,371.35M,-5.47%
2/26/2020,358.94,369.92,373.2,358.94,278.31M,-2.97%
2/25/2020,369.92,386.7,388.52,367.92,282.04M,-4.34%
2/24/2020,386.7,405.93,405.93,386.34,236.98M,-4.74%
2/21/2020,405.93,411.11,411.11,402.89,176.29M,-1.26%
2/20/2020,411.11,411.79,415.68,410.06,172.55M,-0.17%
2/19/2020,411.79,406.42,413.29,406.42,158.28M,1.32%
2/18/2020,406.42,409.82,409.82,402.65,163.40M,-0.83%
2/14/2020,409.82,413.15,413.71,407.53,141.96M,-0.81%
2/13/2020,413.15,415.03,415.74,410.97,183.73M,-0.45%
2/12/2020,415.03,409.47,417.2,409.47,169.57M,1.36%
2/11/2020,409.47,405.24,410.89,405.24,145.07M,1.04%
2/10/2020,405.24,408.55,408.55,402.79,153.01M,-0.81%
2/7/2020,408.55,411.64,411.64,406.72,133.10M,-0.75%
2/6/2020,411.64,415.97,417.44,410.91,131.42M,-1.04%
2/5/2020,415.97,400.81,417.25,400.81,192.18M,3.78%
2/4/2020,400.81,400.02,408.57,400.02,195.87M,0.20%
2/3/2020,400.02,405.45,405.45,398.56,186.60M,-1.34%
1/31/2020,405.45,418.79,418.79,403.32,264.59M,-3.19%
1/30/2020,418.79,415.12,419.21,410.14,197.69M,0.88%
1/29/2020,415.12,419.59,423.58,414.99,164.02M,-1.07%
1/28/2020,419.59,417.87,422.35,417.87,173.48M,0.41%
1/27/2020,417.87,429.71,429.71,417.65,196.95M,-2.76%
