Date,Price,Open,High,Low,Vol.,Change %
3/6/2020,608.4,599.97,610.84,592.26,478.09M,-0.90%
3/5/2020,613.91,632.45,632.45,611.52,403.33M,-4.96%
3/4/2020,645.95,626.94,646.49,624.34,355.89M,4.19%
3/3/2020,619.97,636.03,651.08,616.68,406.40M,-2.43%
3/2/2020,635.4,621.83,636.97,610.36,417.40M,2.75%
2/28/2020,618.39,611.69,618.39,599.43,518.68M,-1.18%
2/27/2020,625.79,639.11,650.61,625.72,389.90M,-3.79%
2/26/2020,650.42,659.23,667.86,649.23,313.24M,-0.79%
2/25/2020,655.63,685.14,686.12,653.78,314.18M,-4.03%
2/24/2020,683.15,691.85,691.85,679.33,271.50M,-2.98%
2/21/2020,704.12,705.58,705.74,700.66,188.98M,-0.44%
2/20/2020,707.25,706.73,711.93,702.42,162.88M,-0.17%
2/19/2020,708.42,709.8,711.86,708.25,162.52M,-0.05%
2/18/2020,708.8,710.32,711.78,705.4,165.16M,-0.56%
2/14/2020,712.8,713.21,714.65,709.89,144.66M,-0.06%
2/13/2020,713.22,715.71,716.62,711.23,169.24M,-0.69%
2/12/2020,718.21,714.76,719.17,713.98,186.35M,0.92%
2/11/2020,711.68,711.87,715,710.37,157.86M,0.35%
2/10/2020,709.17,704.11,709.24,703.56,160.63M,0.56%
2/7/2020,705.2,708.2,709.32,704.63,192.59M,-0.70%
2/6/2020,710.17,710.88,711.09,705.76,192.08M,0.31%
2/5/2020,707.99,702.12,708.07,700.71,186.22M,1.66%
2/4/2020,696.42,690.44,698.1,690.44,189.12M,1.84%
2/3/2020,683.84,686.45,693.12,682.93,194.48M,-0.04%
1/31/2020,684.12,697.33,697.37,681.48,269.20M,-2.29%
1/30/2020,700.16,695.44,700.72,691.2,261.91M,0.08%
1/29/2020,699.57,700.67,704.65,698.73,375.40M,0.55%
1/28/2020,695.72,693.65,699.01,690.11,222.75M,0.63%
1/27/2020,691.38,693.09,695.69,691.23,226.06M,-1.87%
1/24/2020,704.53,708.54,709.34,699.36,212.26M,-0.48%
1/23/2020,707.9,700.01,708.62,696.85,227.14M,1.13%
1/22/2020,700.02,706.12,707.32,699.76,208.26M,-0.58%
1/21/2020,704.1,709.13,710.39,700.98,228.62M,-1.09%
1/17/2020,711.83,711.29,714.95,710.79,217.40M,0.00%
1/16/2020,711.84,707.34,712.05,707.12,167.73M,1.01%
1/15/2020,704.75,704.31,707.75,703.27,166.70M,0.09%
1/14/2020,704.15,704.21,708.26,702.9,181.45M,0.00%
1/13/2020,704.16,699.4,704.42,699.03,178.53M,0.89%
1/10/2020,697.97,703.32,703.67,696.88,180.02M,-0.71%
1/9/2020,702.98,701.9,703.63,700.74,159.53M,0.46%
1/8/2020,699.78,697.81,702.98,696.92,190.16M,0.23%
1/7/2020,698.18,697.22,700.14,694.29,192.89M,-0.12%
1/6/2020,699.04,696.37,699.17,694.14,237.97M,-0.03%
1/3/2020,699.23,691.97,699.59,691.96,212.60M,-0.12%
1/2/2020,700.05,690.46,700.08,690.27,206.68M,1.81%
12/31/2019,687.6,686.46,688.82,684.71,139.76M,0.03%
12/30/2019,687.4,691.24,691.57,686.35,123.40M,-0.57%
12/27/2019,691.34,692.5,692.65,690.24,106.38M,-0.04%
12/26/2019,691.59,690.98,691.61,688.48,97.13M,0.23%
12/24/2019,689.99,692.76,692.9,689.3,56.79M,-0.34%
12/23/2019,692.34,690.67,693.51,690.03,161.01M,0.63%
12/20/2019,687.99,687.52,688.68,684.87,318.66M,0.58%
12/19/2019,684.03,682.66,684.67,681.7,161.94M,0.29%
12/18/2019,682.08,684.81,684.89,681.14,220.24M,-0.50%
12/17/2019,685.49,685.32,687.32,684.98,189.54M,-0.07%
12/16/2019,686,687.61,689.58,685.8,198.42M,-0.03%
12/13/2019,686.22,687.58,693.01,684.07,173.93M,-0.28%
12/12/2019,688.12,682.95,690.22,680.94,246.99M,0.86%
12/11/2019,682.25,677.95,682.58,676.87,146.32M,0.68%
12/10/2019,677.67,678.76,680.44,676.9,134.72M,-0.17%
12/9/2019,678.85,679.97,681.1,678.35,131.34M,-0.34%
12/6/2019,681.2,678.59,682.46,678.59,157.22M,1.26%
12/5/2019,672.74,674.22,674.76,670.22,163.56M,0.05%
12/4/2019,672.38,673.32,679.69,672.37,159.08M,0.33%
12/3/2019,670.19,670.95,671.06,665.92,204.23M,-1.10%
12/2/2019,677.64,689.3,690.06,677.59,189.00M,-1.61%
11/29/2019,688.72,691.04,691.13,688,75.05M,-0.54%
11/27/2019,692.44,692.4,692.95,690.04,135.37M,-0.18%
11/26/2019,693.7,691.89,694.88,691.25,205.73M,0.30%
11/25/2019,691.65,687.94,692.94,687.41,168.03M,0.72%
11/22/2019,686.73,685.1,686.87,682.79,137.11M,0.54%
11/21/2019,683.02,683.77,685.25,681.22,145.73M,-0.16%
11/20/2019,684.1,687.54,688.47,681.04,172.20M,-0.75%
11/19/2019,689.24,692.14,692.74,687.71,155.53M,-0.12%
11/18/2019,690.07,690.7,691.02,688.45,155.78M,-0.33%
11/15/2019,692.36,690.19,693.75,690.12,143.69M,0.69%
11/14/2019,687.64,684.87,688.97,684.42,124.70M,0.25%
11/13/2019,685.95,685.22,688.29,683.85,158.55M,-0.40%
11/12/2019,688.7,689.52,691.85,687.35,153.37M,-0.03%
11/11/2019,688.92,684.78,689.83,683.28,133.12M,0.07%
11/8/2019,688.42,686.18,688.42,684.15,160.78M,0.16%
11/7/2019,687.29,688.73,691.77,686.45,213.61M,0.23%
11/6/2019,685.74,684.89,685.74,681.81,201.71M,0.05%
11/5/2019,685.41,683.8,688.03,683.23,226.85M,0.20%
11/4/2019,684.05,679.33,684.05,679.33,249.00M,1.20%
11/1/2019,675.93,664.92,675.93,664.92,219.11M,2.21%
10/31/2019,661.33,666.78,667.02,658.26,222.91M,-1.14%
10/30/2019,668.93,667.25,669.35,664.18,336.40M,0.33%
10/29/2019,666.71,661.93,668.28,661.25,181.71M,0.39%
10/28/2019,664.12,664.31,667.74,663.86,161.50M,0.26%
10/25/2019,662.43,658.99,663.88,658.16,168.15M,0.64%
10/24/2019,658.24,658.34,659.18,653.72,178.27M,0.12%
10/23/2019,657.43,657.37,657.82,654.68,194.57M,-0.03%
10/22/2019,657.62,652.9,659.4,650.63,207.40M,0.81%
10/21/2019,652.36,649.62,653.79,649.62,218.27M,0.61%
10/18/2019,648.41,653.78,653.78,647.87,210.07M,-0.87%
10/17/2019,654.11,653.89,659.06,653.8,170.30M,0.47%
10/16/2019,651.04,650.37,654.41,650.15,186.61M,-0.04%
10/15/2019,651.32,646.8,653.95,646.25,162.40M,0.79%
10/14/2019,646.23,646.05,647.96,644.47,129.28M,-0.24%
10/11/2019,647.76,641.09,653.09,641.09,227.11M,1.97%
10/10/2019,635.25,629.27,637.58,628.93,160.84M,0.86%
10/9/2019,629.83,627.82,632.32,626.35,147.94M,0.85%
10/8/2019,624.51,628.88,631.1,624.14,174.43M,-1.57%
10/7/2019,634.48,636.21,639.73,633.31,134.76M,-0.54%
10/4/2019,637.93,631.42,638.33,631.25,158.04M,1.10%
10/3/2019,631.02,625.43,631.14,617.19,198.34M,0.70%
10/2/2019,626.62,633.95,633.95,622.31,217.76M,-1.97%
10/1/2019,639.2,657.5,659.6,638.4,213.14M,-2.40%
9/30/2019,654.89,655.54,656.78,654.5,153.01M,0.21%
9/27/2019,653.53,658.41,659.26,650.72,139.86M,-0.41%
9/26/2019,656.23,656.13,658.55,653.14,134.81M,0.08%
