Date,Price,Open,High,Low,Vol.,Change %,,,,,Date,Price,Change %,Helper,Event Time
3/31/2020,793.11,803.3,813.57,791.48,765.25M,-1.78%,,,,,4/23/2019,953.4,1.22%,238,-190
3/30/2020,807.52,794.37,809.81,783.07,524.74M,2.19%,,,,,4/24/2019,953.13,-0.03%,237,-189
3/27/2020,790.18,794.15,810.01,782.17,603.04M,-3.37%,,,,,4/25/2019,948.6,-0.48%,236,-188
3/26/2020,817.74,792.23,819.91,789.44,749.98M,4.30%,,,,,4/26/2019,957.39,0.93%,235,-187
3/25/2020,784.01,786.13,812.67,768.28,851.62M,1.10%,,,,,4/29/2019,954.06,-0.35%,234,-186
3/24/2020,775.51,750.79,775.85,749.39,786.42M,8.64%,,,,,4/30/2019,952.14,-0.20%,233,-185
3/23/2020,713.84,702.26,726.82,689.34,712.11M,0.35%,,,,,5/1/2019,941.37,-1.13%,232,-184
3/20/2020,711.34,746.16,761.27,708.68,796.43M,-2.71%,,,,,5/2/2019,941.13,-0.03%,231,-183
3/19/2020,731.19,706.04,751.9,684.01,705.79M,3.40%,,,,,5/3/2019,954.28,1.40%,230,-182
3/18/2020,707.13,710.14,719.21,663.43,788.71M,-4.93%,,,,,5/6/2019,948.21,-0.64%,229,-181
3/17/2020,743.78,733.74,760.29,692.69,708.61M,4.03%,,,,,5/7/2019,934.39,-1.46%,228,-180
3/16/2020,714.98,743.82,764.82,713.17,663.41M,-12.08%,,,,,5/8/2019,933.77,-0.07%,227,-179
3/13/2020,813.24,794.27,813.26,763.12,700.64M,6.08%,,,,,5/9/2019,929.78,-0.43%,226,-178
3/12/2020,766.6,807.13,813.06,765.93,661.63M,-9.79%,,,,,5/10/2019,930.2,0.05%,225,-177
3/11/2020,849.84,879.89,879.89,841.85,580.19M,-5.36%,,,,,5/13/2019,902.79,-2.95%,224,-176
3/10/2020,897.98,878.73,898.01,852.24,555.63M,5.38%,,,,,5/14/2019,910.67,0.87%,223,-175
3/9/2020,852.13,859.98,877.64,845.5,531.72M,-6.18%,,,,,5/15/2019,917.78,0.78%,222,-174
3/6/2020,908.3,898.57,912.93,888.86,508.82M,-1.41%,,,,,5/16/2019,926.99,1.00%,221,-173
3/5/2020,921.33,939.69,940.92,915.28,432.40M,-3.77%,,,,,5/17/2019,919.56,-0.80%,220,-172
3/4/2020,957.38,939.14,957.85,930.16,398.49M,3.41%,,,,,5/20/2019,913.17,-0.69%,219,-171
3/3/2020,925.78,951.33,963.69,916.66,476.10M,-2.32%,,,,,5/21/2019,918.37,0.57%,218,-170
3/2/2020,947.78,920.95,947.85,906.8,460.42M,3.50%,,,,,5/22/2019,910.1,-0.90%,217,-169
2/28/2020,915.77,900.17,917.54,889.83,572.24M,-0.77%,,,,,5/23/2019,897.92,-1.34%,216,-168
2/27/2020,922.88,942.72,961.46,922.71,532.24M,-4.07%,,,,,5/24/2019,899.17,0.14%,215,-167
2/26/2020,962.01,972.93,983.73,959.59,433.47M,-0.69%,,,,,5/28/2019,894.77,-0.49%,214,-166
2/25/2020,968.73,"1,000.02","1,005.35",966.44,421.78M,-2.60%,,,,,5/29/2019,886.86,-0.88%,213,-165
2/24/2020,994.64,"1,000.76","1,004.52",989.59,386.38M,-3.53%,,,,,5/30/2019,891.34,0.51%,212,-164
2/21/2020,"1,031.02","1,043.05","1,044.23","1,028.13",255.30M,-1.64%,,,,,5/31/2019,878.54,-1.44%,211,-163
2/20/2020,"1,048.16","1,047.59","1,051.11","1,035.35",258.03M,-0.01%,,,,,6/3/2019,868.21,-1.18%,210,-162
2/19/2020,"1,048.28","1,047.34","1,052.19","1,046.81",231.59M,0.47%,,,,,6/4/2019,891.08,2.63%,209,-161
