Date,Price,Open,High,Low,Vol.,Change %,,,,Date,Price,Change %,Event Time,,Helper
3/31/2020,560.33,569.25,572.46,558.84,215.88M,-1.96%,,,,4/23/2019,584.46,-0.11%,-190,,238
3/30/2020,571.52,558.49,573.13,557.91,190.06M,3.90%,,,,4/24/2019,584.96,0.09%,-189,,237
3/27/2020,550.05,544.16,565.46,543.17,202.93M,-0.72%,,,,4/25/2019,580.6,-0.75%,-188,,236
3/26/2020,554.03,530.4,556.87,529.36,259.62M,5.67%,,,,4/26/2019,585.93,0.92%,-187,,235
3/25/2020,524.29,521.1,541.36,514.63,280.12M,-0.17%,,,,4/29/2019,586.44,0.09%,-186,,234
3/24/2020,525.19,520.5,528.42,512.39,277.18M,4.84%,,,,4/30/2019,593.64,1.23%,-185,,233
3/23/2020,500.95,510.94,520.92,491.31,288.55M,-2.97%,,,,5/1/2019,586.68,-1.17%,-184,,232
3/20/2020,516.28,551.22,553.2,511.81,330.69M,-6.53%,,,,5/2/2019,586.12,-0.10%,-183,,231
3/19/2020,552.37,568.09,569.04,548.04,284.60M,-2.91%,,,,5/3/2019,590.44,0.74%,-182,,230
3/18/2020,568.91,565.79,584.55,546.45,352.79M,-3.07%,,,,5/6/2019,589.48,-0.16%,-181,,229
3/17/2020,586.9,555.45,589.15,551.67,324.78M,8.39%,,,,5/7/2019,583.58,-1.00%,-180,,228
3/16/2020,541.45,531.74,570.75,522.98,281.58M,-6.99%,,,,5/8/2019,582.69,-0.15%,-179,,227
3/13/2020,582.16,557.75,582.34,542.09,288.07M,8.41%,,,,5/9/2019,581.44,-0.21%,-178,,226
3/12/2020,537,562.18,573.76,534.82,289.95M,-9.24%,,,,5/10/2019,588.24,1.17%,-177,,225
3/11/2020,591.64,607.28,609.77,584.67,214.99M,-4.89%,,,,5/13/2019,583.37,-0.83%,-176,,224
3/10/2020,622.09,615.87,623.22,594.89,234.69M,2.93%,,,,5/14/2019,585.54,0.37%,-175,,223
3/9/2020,604.41,613.11,621.52,598.86,238.90M,-4.41%,,,,5/15/2019,590.2,0.80%,-174,,222
3/6/2020,632.29,619.06,635.57,615.88,195.56M,-0.77%,,,,5/16/2019,594.62,0.75%,-173,,221
3/5/2020,637.18,637.54,645.88,631.19,187.24M,-1.99%,,,,5/17/2019,593.5,-0.19%,-172,,220
3/4/2020,650.13,625.12,650.33,625.12,175.07M,4.92%,,,,5/20/2019,592.18,-0.22%,-171,,219
3/3/2020,619.62,628.06,639.19,614.83,209.35M,-1.31%,,,,5/21/2019,590.35,-0.31%,-170,,218
3/2/2020,627.84,598.39,628.13,597.93,228.16M,5.48%,,,,5/22/2019,593.6,0.55%,-169,,217
2/28/2020,595.21,597.02,597.02,575.44,308.21M,-2.08%,,,,5/23/2019,593.21,-0.07%,-168,,216
2/27/2020,607.86,628.25,633.56,607.71,206.28M,-4.07%,,,,5/24/2019,590.84,-0.40%,-167,,215
2/26/2020,633.63,638.63,644.65,633.37,162.46M,-0.49%,,,,5/28/2019,580.27,-1.79%,-166,,214
2/25/2020,636.73,648.32,652.12,634.58,152.20M,-1.75%,,,,5/29/2019,576.17,-0.71%,-165,,213
2/24/2020,648.06,655.65,659.77,647.7,149.22M,-2.48%,,,,5/30/2019,578.06,0.33%,-164,,212
2/21/2020,664.57,660.82,665.58,660.55,117.06M,0.28%,,,,5/31/2019,569.93,-1.41%,-163,,211
2/20/2020,662.73,660.75,663.33,656.76,96.45M,0.10%,,,,6/3/2019,577.48,1.32%,-162,,210
2/19/2020,662.06,663.07,664.8,662.04,100.55M,-0.08%,,,,6/4/2019,581.98,0.78%,-161,,209
2/18/2020,662.61,664.22,665.55,661.46,146.45M,-0.41%,,,,6/5/2019,588.49,1.12%,-160,,208
2/14/2020,665.35,663.91,665.35,663.01,114.20M,0.28%,,,,6/6/2019,593.26,0.81%,-159,,207
2/13/2020,663.48,660.09,664.91,657.16,127.26M,0.55%,,,,6/7/2019,599.31,1.02%,-158,,206
2/12/2020,659.83,660.42,660.8,658.12,108.81M,-0.04%,,,,6/10/2019,599.32,0.00%,-157,,205
2/11/2020,660.09,662.95,662.95,659.64,98.96M,-0.36%,,,,6/11/2019,601.76,0.41%,-156,,204
2/10/2020,662.48,659.88,663.78,659.88,96.91M,0.37%,,,,6/12/2019,602.01,0.04%,-155,,203
2/7/2020,660.01,658.42,661.08,657,108.01M,0.18%,,,,6/13/2019,602.65,0.11%,-154,,202
2/6/2020,658.84,657.26,662.35,656.24,126.97M,0.33%,,,,6/14/2019,602.85,0.03%,-153,,201
2/5/2020,656.67,653.6,657.39,653.12,136.50M,0.76%,,,,6/17/2019,601.58,-0.21%,-152,,200
2/4/2020,651.73,651.99,656.2,650.48,124.53M,0.55%,,,,6/18/2019,598.13,-0.57%,-151,,199
2/3/2020,648.19,650.63,652.98,647.48,123.88M,-0.01%,,,,6/19/2019,600.58,0.41%,-150,,198
1/31/2020,648.25,654.58,658.54,646.47,163.26M,-1.11%,,,,6/20/2019,605.44,0.81%,-149,,197
1/30/2020,655.54,648.82,656.24,647.95,135.68M,1.05%,,,,6/21/2019,603.48,-0.32%,-148,,196
1/29/2020,648.73,652.15,653,648.72,96.76M,-0.52%,,,,6/24/2019,605.09,0.27%,-147,,195
1/28/2020,652.12,651.19,653.76,650.98,108.90M,0.12%,,,,6/25/2019,604.77,-0.05%,-146,,194
1/27/2020,651.35,648,654.37,647.11,123.27M,-0.32%,,,,6/26/2019,596.4,-1.38%,-145,,193
1/24/2020,653.43,658.48,659.35,651.29,105.09M,-0.65%,,,,6/27/2019,596.93,0.09%,-144,,192
1/23/2020,657.7,657.29,659.75,654.02,108.84M,-0.26%,,,,6/28/2019,597.34,0.07%,-143,,191
1/22/2020,659.44,658.6,660.84,658.6,103.87M,0.10%,,,,7/1/2019,600.1,0.46%,-142,,190
1/21/2020,658.8,655.33,659.27,653.51,139.27M,0.34%,,,,7/2/2019,605.19,0.85%,-141,,189
1/17/2020,656.56,655.57,657.7,655.33,141.06M,0.26%,,,,7/3/2019,613.4,1.36%,-140,,188
1/16/2020,654.89,653.7,655.58,653.6,96.32M,0.31%,,,,7/5/2019,610.37,-0.49%,-139,,187
1/15/2020,652.87,648.08,654.69,648.08,111.14M,0.65%,,,,7/8/2019,611.41,0.17%,-138,,186
1/14/2020,648.68,647.69,649.04,647.08,132.92M,0.02%,,,,7/9/2019,607.84,-0.58%,-137,,185
1/13/2020,648.53,644.31,648.53,644.16,119.96M,0.68%,,,,7/10/2019,612.31,0.74%,-136,,184
1/10/2020,644.13,645.7,646.3,643.49,101.25M,-0.13%,,,,7/11/2019,613.83,0.25%,-135,,183
1/9/2020,644.96,642.6,645.12,641.14,121.10M,0.73%,,,,7/12/2019,615.88,0.33%,-134,,182
1/8/2020,640.26,637.7,642.97,637.3,128.19M,0.45%,,,,7/15/2019,617.13,0.20%,-133,,181
1/7/2020,637.39,640.65,640.92,637.09,117.47M,-0.73%,,,,7/16/2019,617.2,0.01%,-132,,180
1/6/2020,642.07,639.69,642.97,638.65,115.59M,0.24%,,,,7/17/2019,616.39,-0.13%,-131,,179
1/3/2020,640.55,638.23,643.69,637.83,106.58M,-0.17%,,,,7/18/2019,621.45,0.82%,-130,,178
1/2/2020,641.67,647.79,648.05,640.24,113.92M,-0.82%,,,,7/19/2019,617.25,-0.68%,-129,,177
12/31/2019,646.97,646.24,647.59,643.64,81.36M,0.06%,,,,7/22/2019,613.96,-0.53%,-128,,176
12/30/2019,646.58,648.81,649.83,645.65,67.07M,-0.52%,,,,7/23/2019,617.82,0.63%,-127,,175
12/27/2019,649.97,648.26,650.23,648.11,68.96M,0.40%,,,,7/24/2019,613.89,-0.64%,-126,,174
12/26/2019,647.39,646.91,648.48,645.63,72.15M,0.14%,,,,7/25/2019,613.65,-0.04%,-125,,173
12/24/2019,646.51,646.62,647.41,645.77,33.98M,-0.04%,,,,7/26/2019,620.94,1.19%,-124,,172
12/23/2019,646.79,649.61,649.96,646.26,97.71M,-0.34%,,,,7/29/2019,622.5,0.25%,-123,,171
12/20/2019,648.97,649.53,651.63,646.45,246.53M,0.65%,,,,7/30/2019,623.64,0.18%,-122,,170
12/19/2019,644.75,641.39,645.65,641.39,144.89M,0.64%,,,,7/31/2019,611.23,-1.99%,-121,,169
12/18/2019,640.66,643.78,645.22,640.05,132.56M,-0.37%,,,,8/1/2019,608.27,-0.48%,-120,,168
12/17/2019,643.01,642.95,644.01,641.87,118.88M,-0.07%,,,,8/2/2019,608.99,0.12%,-119,,167
12/16/2019,643.49,643.08,645.08,642.42,125.22M,0.36%,,,,8/5/2019,592.59,-2.69%,-118,,166
12/13/2019,641.18,637.5,642.22,636.59,112.44M,0.33%,,,,8/6/2019,598.32,0.97%,-117,,165
12/12/2019,639.1,639.8,643.8,638,106.54M,-0.08%,,,,8/7/2019,605.27,1.16%,-116,,164
12/11/2019,639.6,639.69,641.06,637.71,91.87M,0.15%,,,,8/8/2019,612.59,1.21%,-115,,163
12/10/2019,638.63,640.17,641.31,637.92,96.75M,-0.35%,,,,8/9/2019,609.05,-0.58%,-114,,162
12/9/2019,640.88,639.68,642.19,639.68,97.99M,0.15%,,,,8/12/2019,605.05,-0.66%,-113,,161
12/6/2019,639.92,640.07,642.33,638.93,95.42M,0.37%,,,,8/13/2019,612.34,1.20%,-112,,160
12/5/2019,637.57,637.66,637.88,633.77,118.42M,-0.19%,,,,8/14/2019,602.63,-1.59%,-111,,159
12/4/2019,638.77,634.07,638.8,633.55,118.12M,0.66%,,,,8/15/2019,611.74,1.51%,-110,,158
12/3/2019,634.57,634.34,634.77,630.25,125.42M,-0.18%,,,,8/16/2019,618.62,1.12%,-109,,157
12/2/2019,635.73,633.46,635.81,630.15,114.04M,0.26%,,,,8/19/2019,624.42,0.94%,-108,,156
11/29/2019,634.09,634.58,635.77,633.32,50.84M,-0.14%,,,,8/20/2019,616.85,-1.21%,-107,,155
11/27/2019,635,635.1,635.9,633.13,83.10M,0.12%,,,,8/21/2019,618.97,0.34%,-106,,154
11/26/2019,634.26,629.84,634.33,628.45,143.72M,0.82%,,,,8/22/2019,621.65,0.43%,-105,,153
11/25/2019,629.08,629.34,630.3,625.73,105.16M,0.18%,,,,8/23/2019,611.45,-1.64%,-104,,152
11/22/2019,627.97,630.08,630.32,625.8,91.79M,-0.14%,,,,8/26/2019,618.33,1.13%,-103,,151
11/21/2019,628.86,631.37,632.78,627.9,108.03M,-0.53%,,,,8/27/2019,616.53,-0.29%,-102,,150
11/20/2019,632.24,631.05,633.85,629.75,111.69M,0.18%,,,,8/28/2019,622.33,0.94%,-101,,149
11/19/2019,631.08,632.98,634.1,629.9,104.65M,-0.25%,,,,8/29/2019,622.31,0.00%,-100,,148
11/18/2019,632.65,628.62,635.76,628.62,124.61M,0.54%,,,,8/30/2019,621.27,-0.17%,-99,,147
11/15/2019,629.27,629.58,629.58,626.75,116.31M,0.09%,,,,9/3/2019,624.42,0.51%,-98,,146
11/14/2019,628.7,631.96,632.33,626.74,118.38M,-0.13%,,,,9/4/2019,630.18,0.92%,-97,,145
11/13/2019,629.53,625.3,630.52,624.75,106.06M,0.86%,,,,9/5/2019,625.55,-0.73%,-96,,144
11/12/2019,624.18,623.63,624.27,621.86,102.07M,0.23%,,,,9/6/2019,628.52,0.47%,-95,,143
11/11/2019,622.74,623.9,624.86,621.7,99.63M,-0.20%,,,,9/9/2019,626.83,-0.27%,-94,,142
11/8/2019,623.97,624,625.45,621.49,91.04M,0.02%,,,,9/10/2019,623.01,-0.61%,-93,,141
