Date,Price,Open,High,Low,Vol.,Change %,,,,Change %,Helper
3/6/2020,422.74,437.12,437.12,413.9,632.72M,-3.29%,,,,0.58%,221
3/5/2020,437.12,459.55,459.55,432.45,545.48M,-4.88%,,,,-0.14%,220
3/4/2020,459.55,444.92,459.74,443.6,509.90M,3.29%,,,,0.26%,219
3/3/2020,444.92,462.16,466.52,440.72,651.26M,-3.73%,,,,0.94%,218
3/2/2020,462.16,440.7,462.44,436.34,605.55M,4.87%,,,,0.93%,217
2/28/2020,440.7,452.33,452.33,429.83,816.99M,-2.57%,,,,0.16%,216
2/27/2020,452.33,473.01,473.01,452.13,558.54M,-4.37%,,,,-0.86%,215
2/26/2020,473.01,476.22,483.67,473.01,415.84M,-0.67%,,,,0.16%,214
2/25/2020,476.22,493.01,493.92,473.91,441.87M,-3.41%,,,,0.83%,213
2/24/2020,493.01,509.7,509.7,490.78,378.54M,-3.27%,,,,-0.67%,212
2/21/2020,509.7,514.7,514.7,506.95,309.42M,-0.97%,,,,-1.69%,211
2/20/2020,514.7,515.37,517.98,511.29,323.86M,-0.13%,,,,-0.29%,210
2/19/2020,515.37,511.6,516.76,511.6,200.21M,0.74%,,,,-0.14%,209
2/18/2020,511.6,516.18,516.18,508.9,248.12M,-0.89%,,,,0.52%,208
2/14/2020,516.18,515.78,516.48,513.75,185.58M,0.08%,,,,-2.87%,207
2/13/2020,515.78,516.01,516.72,512.77,198.66M,-0.04%,,,,0.80%,206
2/12/2020,516.01,515.63,519.77,515.3,199.87M,0.07%,,,,-0.48%,205
2/11/2020,515.63,513.56,517.93,513.56,203.30M,0.40%,,,,1.10%,204
2/10/2020,513.56,512.49,513.57,510.6,189.77M,0.21%,,,,-0.60%,203
2/7/2020,512.49,514.33,514.33,510.37,205.08M,-0.36%,,,,0.14%,202
2/6/2020,514.33,515.2,517.78,513.08,251.12M,-0.17%,,,,0.86%,201
2/5/2020,515.2,505.25,515.56,505.25,288.92M,1.97%,,,,-0.50%,200
2/4/2020,505.25,500.06,509.81,500.06,267.66M,1.04%,,,,-1.49%,199
2/3/2020,500.06,497.1,504.97,497.1,261.22M,0.60%,,,,0.77%,198
1/31/2020,497.1,507.35,507.35,495.04,352.72M,-2.02%,,,,-1.10%,197
1/30/2020,507.35,501.09,507.72,496.49,283.04M,1.25%,,,,-0.11%,196
