Date,Price,Open,High,Low,Vol.,Change %,,,,Change %,Helper
3/6/2020,"1,557.90","1,590.20","1,590.20","1,515.30",680.99M,-2.03%,,,,1.13%,221
3/5/2020,"1,590.20","1,643.00","1,643.00","1,581.00",538.48M,-3.21%,,,,-0.01%,220
3/4/2020,"1,643.00","1,575.50","1,643.90","1,575.50",553.00M,4.28%,,,,0.00%,219
3/3/2020,"1,575.50","1,637.60","1,657.20","1,559.60",754.10M,-3.79%,,,,-0.35%,218
3/2/2020,"1,637.60","1,549.20","1,638.10","1,548.50",715.75M,5.70%,,,,-0.01%,217
2/28/2020,"1,549.20","1,537.10","1,561.70","1,476.20",952.51M,0.79%,,,,0.21%,216
2/27/2020,"1,537.10","1,623.60","1,623.60","1,536.00",766.54M,-5.33%,,,,-0.27%,215
2/26/2020,"1,623.60","1,617.20","1,659.30","1,612.20",565.51M,0.40%,,,,-0.54%,214
2/25/2020,"1,617.20","1,670.30","1,691.20","1,611.10",673.60M,-3.18%,,,,0.95%,213
2/24/2020,"1,670.30","1,743.30","1,743.30","1,645.50",575.19M,-4.19%,,,,-0.82%,212
2/21/2020,"1,743.30","1,783.40","1,783.40","1,732.40",460.97M,-2.25%,,,,-2.12%,211
2/20/2020,"1,783.40","1,801.60","1,801.90","1,758.90",411.83M,-1.01%,,,,-0.17%,210
2/19/2020,"1,801.60","1,782.20","1,804.20","1,782.20",361.96M,1.09%,,,,-0.68%,209
2/18/2020,"1,782.20","1,788.50","1,788.50","1,771.80",374.18M,-0.35%,,,,0.18%,208
2/14/2020,"1,788.50","1,779.70","1,791.00","1,778.30",351.70M,0.49%,,,,-3.71%,207
2/13/2020,"1,779.70","1,785.00","1,789.70","1,768.70",415.69M,-0.30%,,,,1.60%,206
2/12/2020,"1,785.00","1,766.30","1,785.90","1,766.30",423.36M,1.06%,,,,0.98%,205
2/11/2020,"1,766.30","1,772.40","1,787.10","1,760.90",405.42M,-0.34%,,,,0.99%,204
2/10/2020,"1,772.40","1,748.70","1,772.50","1,737.70",360.60M,1.35%,,,,-0.82%,203
2/7/2020,"1,748.70","1,766.00","1,766.00","1,744.80",362.90M,-0.98%,,,,-1.75%,202
2/6/2020,"1,766.00","1,750.60","1,766.20","1,749.00",338.83M,0.88%,,,,1.20%,201
2/5/2020,"1,750.60","1,740.10","1,768.20","1,737.50",391.16M,0.60%,,,,-0.57%,200
2/4/2020,"1,740.10","1,696.00","1,743.60","1,696.00",377.58M,2.60%,,,,-1.73%,199
2/3/2020,"1,696.00","1,673.90","1,699.50","1,672.60",381.72M,1.32%,,,,0.05%,198
1/31/2020,"1,673.90","1,720.70","1,720.70","1,667.80",487.83M,-2.72%,,,,-0.33%,197
1/30/2020,"1,720.70","1,705.60","1,721.80","1,695.20",426.14M,0.88%,,,,-0.60%,196
1/29/2020,"1,705.60","1,702.00","1,717.90","1,699.30",438.04M,0.21%,,,,0.60%,195
1/28/2020,"1,702.00","1,670.70","1,706.20","1,670.70",374.14M,1.87%,,,,-1.60%,194
1/27/2020,"1,670.70","1,711.10","1,711.10","1,663.20",397.93M,-2.36%,,,,-1.76%,193
1/24/2020,"1,711.10","1,718.80","1,735.00","1,704.50",453.66M,-0.45%,,,,3.26%,192
1/23/2020,"1,718.80","1,710.60","1,719.30","1,705.00",350.12M,0.48%,,,,1.38%,191
1/22/2020,"1,710.60","1,704.30","1,722.30","1,704.30",352.58M,0.37%,,,,1.09%,190
1/21/2020,"1,704.30","1,705.80","1,714.00","1,699.20",413.87M,-0.08%,,,,1.93%,189
1/17/2020,"1,705.80","1,693.70","1,706.30","1,692.40",436.20M,0.71%,,,,0.98%,188
1/16/2020,"1,693.70","1,670.30","1,693.80","1,670.30",346.83M,1.40%,,,,0.02%,187
1/15/2020,"1,670.30","1,669.10","1,679.00","1,665.40",328.28M,0.07%,,,,-0.58%,186
1/14/2020,"1,669.10","1,679.10","1,680.90","1,666.70",350.82M,-0.60%,,,,0.22%,185
1/13/2020,"1,679.10","1,656.80","1,679.10","1,656.80",335.76M,1.34%,,,,-0.83%,184
1/10/2020,"1,656.80","1,659.90","1,669.60","1,653.70",323.40M,-0.19%,,,,0.17%,183
1/9/2020,"1,659.90","1,641.40","1,661.10","1,641.40",374.92M,1.13%,,,,1.72%,182
1/8/2020,"1,641.40","1,624.60","1,648.40","1,623.20",372.78M,1.03%,,,,0.44%,181
1/7/2020,"1,624.60","1,626.40","1,632.30","1,622.30",382.70M,-0.11%,,,,1.43%,180
1/6/2020,"1,626.40","1,621.70","1,626.70","1,602.40",339.78M,0.29%,,,,-0.46%,179
1/3/2020,"1,621.70","1,639.10","1,639.10","1,615.90",334.21M,-1.06%,,,,0.15%,178
1/2/2020,"1,639.10","1,611.20","1,639.50","1,611.20",372.41M,1.73%,,,,-1.84%,177
12/31/2019,"1,611.20","1,605.20","1,611.60","1,597.30",238.51M,0.38%,,,,1.09%,176
12/30/2019,"1,605.20","1,614.70","1,614.70","1,592.40",250.26M,-0.59%,,,,0.28%,175
12/27/2019,"1,614.70","1,614.30","1,620.00","1,610.10",238.04M,0.02%,,,,0.14%,174
12/26/2019,"1,614.30","1,602.50","1,614.40","1,602.50",221.79M,0.74%,,,,1.45%,173
12/24/2019,"1,602.50","1,601.90","1,604.20","1,598.70",138.88M,0.04%,,,,0.29%,172
12/23/2019,"1,601.90","1,597.00","1,605.60","1,597.00",317.08M,0.30%,,,,0.68%,171
12/20/2019,"1,597.00","1,588.00","1,599.00","1,588.00",720.45M,0.57%,,,,-0.19%,170
12/19/2019,"1,588.00","1,576.80","1,588.30","1,576.80",376.62M,0.71%,,,,-0.73%,169
12/18/2019,"1,576.80","1,577.80","1,583.00","1,576.70",370.59M,-0.06%,,,,0.31%,168
12/17/2019,"1,577.80","1,580.50","1,583.30","1,575.00",355.87M,-0.17%,,,,0.80%,167
12/16/2019,"1,580.50","1,566.90","1,586.10","1,566.90",407.18M,0.87%,,,,0.34%,166
12/13/2019,"1,566.90","1,556.90","1,570.10","1,551.90",414.92M,0.64%,,,,0.80%,165
12/12/2019,"1,556.90","1,540.20","1,558.60","1,531.90",464.18M,1.08%,,,,0.30%,164
12/11/2019,"1,540.20","1,529.40","1,541.10","1,529.40",315.00M,0.71%,,,,-0.91%,163
12/10/2019,"1,529.40","1,529.40","1,537.80","1,526.10",309.47M,0.00%,,,,-0.29%,162
12/9/2019,"1,529.40","1,536.80","1,539.00","1,528.90",297.14M,-0.48%,,,,0.81%,161
12/6/2019,"1,536.80","1,519.80","1,538.00","1,519.80",291.20M,1.12%,,,,-0.55%,160
12/5/2019,"1,519.80","1,513.90","1,521.10","1,512.90",304.81M,0.39%,,,,1.22%,159
12/4/2019,"1,513.90","1,508.50","1,518.70","1,508.50",323.73M,0.35%,,,,0.56%,158
12/3/2019,"1,508.50","1,521.40","1,521.40","1,491.40",377.99M,-0.85%,,,,0.86%,157
12/2/2019,"1,521.40","1,543.00","1,544.10","1,515.40",322.91M,-1.40%,,,,-0.79%,156
11/29/2019,"1,543.00","1,548.20","1,548.20","1,541.60",153.57M,-0.34%,,,,0.56%,155
11/27/2019,"1,548.20","1,539.40","1,548.40","1,539.40",272.62M,0.57%,,,,-0.05%,154
11/26/2019,"1,539.40","1,538.30","1,543.60","1,537.10",456.32M,0.07%,,,,-0.70%,153
11/25/2019,"1,538.30","1,516.70","1,538.30","1,516.70",328.08M,1.43%,,,,-1.47%,152
11/22/2019,"1,516.70","1,518.50","1,525.20","1,510.60",284.57M,-0.12%,,,,-0.53%,151
11/21/2019,"1,518.50","1,525.90","1,525.90","1,515.30",360.57M,-0.48%,,,,-1.68%,150
11/20/2019,"1,525.90","1,537.00","1,537.00","1,514.90",386.42M,-0.72%,,,,-4.07%,149
11/19/2019,"1,537.00","1,533.30","1,541.10","1,531.10",382.01M,0.24%,,,,1.61%,148
11/18/2019,"1,533.30","1,529.40","1,535.80","1,522.70",345.58M,0.25%,,,,0.64%,147
11/15/2019,"1,529.40","1,516.70","1,529.40","1,516.70",413.43M,0.84%,,,,2.39%,146
11/14/2019,"1,516.70","1,518.70","1,518.70","1,508.40",382.76M,-0.13%,,,,-1.25%,145
11/13/2019,"1,518.70","1,514.90","1,519.90","1,509.10",341.80M,0.25%,,,,-1.25%,144
11/12/2019,"1,514.90","1,510.50","1,520.90","1,509.00",329.14M,0.29%,,,,2.47%,143
11/11/2019,"1,510.50","1,509.60","1,512.40","1,499.40",269.19M,0.06%,,,,-3.11%,142
11/8/2019,"1,509.60","1,500.80","1,509.60","1,491.50",288.37M,0.59%,,,,-0.19%,141
11/7/2019,"1,500.80","1,490.80","1,509.20","1,490.80",375.22M,0.67%,,,,1.88%,140
11/6/2019,"1,490.80","1,491.00","1,491.30","1,483.10",392.16M,-0.01%,,,,1.56%,139
11/5/2019,"1,491.00","1,493.20","1,498.10","1,486.40",388.83M,-0.14%,,,,-0.53%,138
11/4/2019,"1,493.20","1,485.10","1,497.90","1,485.10",373.91M,0.55%,,,,1.18%,137
11/1/2019,"1,485.10","1,467.20","1,485.10","1,467.20",397.10M,1.22%,,,,-0.26%,136
10/31/2019,"1,467.20","1,469.00","1,472.60","1,458.70",388.89M,-0.12%,,,,-3.30%,135
10/30/2019,"1,469.00","1,460.10","1,470.00","1,455.40",317.84M,0.61%,,,,1.39%,134
10/29/2019,"1,460.10","1,473.60","1,475.10","1,459.80",351.91M,-0.92%,,,,-0.13%,133
10/28/2019,"1,473.60","1,455.20","1,474.30","1,455.20",348.90M,1.26%,,,,0.10%,132
10/25/2019,"1,455.20","1,438.00","1,456.70","1,437.40",363.34M,1.20%,,,,1.73%,131
