Date,Open,High,Low,Close,Change,,,,,,Change,Helper,,https://www.spglobal.com/spdji/en/indices/equity/sp-500-communication-services-sector/#overview
3/6/2020,171.03,168.93,168.93,168.93,1.23%,,,,,,-0.0075,221,,
3/5/2020,177.62,171.06,171.06,171.06,3.69%,,,,,,0.0081,220,,
3/4/2020,171.52,177.63,177.63,177.63,-3.56%,,,,,,-0.0108,219,,
3/3/2020,177.61,171.49,171.49,171.49,3.45%,,,,,,-0.0088,218,,
3/2/2020,171.26,177.39,177.39,177.39,-3.58%,,,,,,-0.0083,217,,
2/28/2020,170.78,171.25,171.25,171.25,-0.28%,,,,,,0.0251,216,,
2/27/2020,178.07,170.87,170.87,170.87,4.04%,,,,,,0.0065,215,,
2/26/2020,178.51,178.08,178.08,178.08,0.24%,,,,,,0.005,214,,
2/25/2020,182.83,178.45,178.45,178.45,2.40%,,,,,,-0.0098,213,,
2/24/2020,189.07,182.85,182.85,182.85,3.29%,,,,,,-0.0002,212,,
2/21/2020,191.79,189.12,189.12,189.12,1.39%,,,,,,0.0125,211,,
2/20/2020,192.84,191.8,191.8,191.8,0.54%,,,,,,0.0034,210,,
2/19/2020,192.37,192.97,192.97,192.97,-0.31%,,,,,,0.0018,209,,
2/18/2020,191.49,192.26,192.26,192.26,-0.40%,,,,,,-0.0025,208,,
2/14/2020,191.31,191.5,191.5,191.5,-0.10%,,,,,,0.0237,207,,
2/13/2020,191.03,191.31,191.31,191.31,-0.15%,,,,,,-0.0023,206,,
2/12/2020,189.4,191.03,191.03,191.03,-0.86%,,,,,,-0.0212,205,,
2/11/2020,190.47,189.29,189.29,189.29,0.62%,,,,,,-0.0095,204,,
2/10/2020,188.85,190.46,190.46,190.46,-0.85%,,,,,,0.0042,203,,
2/7/2020,188.68,188.88,188.88,188.88,-0.11%,,,,,,0.0112,202,,
2/6/2020,186.56,188.68,188.68,188.68,-1.14%,,,,,,-0.0096,201,,
2/5/2020,186.81,186.55,186.55,186.55,0.14%,,,,,,-0.0004,200,,
2/4/2020,185.24,186.46,186.46,186.46,-0.66%,,,,,,0.0124,199,,
2/3/2020,182.9,185.16,185.16,185.16,-1.24%,,,,,,0.0009,198,,
1/31/2020,185.32,182.84,182.84,182.84,1.34%,,,,,,-0.0014,197,,
1/30/2020,186.3,185.19,185.19,185.19,0.60%,,,,,,0.0111,196,,
1/29/2020,187.5,186.67,186.67,186.67,0.44%,,,,,,0.0002,195,,
1/28/2020,185.29,187.48,187.48,187.48,-1.18%,,,,,,0.0177,194,,
1/27/2020,188.48,185.29,185.29,185.29,1.69%,,,,,,0.0279,193,,
1/24/2020,190.47,188.48,188.48,188.48,1.04%,,,,,,-0.0158,192,,
1/23/2020,190.85,190.47,190.47,190.47,0.20%,,,,,,-0.0012,191,,
1/22/2020,191.03,191.12,191.12,191.12,-0.05%,,,,,,-0.0044,190,,
1/21/2020,191.09,191.01,191.01,191.01,0.04%,,,,,,-0.014,189,,
1/17/2020,189.62,191.1,191.1,191.1,-0.78%,,,,,,0.0019,188,,
1/16/2020,188.37,189.4,189.4,189.4,-0.55%,,,,,,-0.0011,187,,
1/15/2020,187.52,188.15,188.15,188.15,-0.34%,,,,,,0.0028,186,,
1/14/2020,188.07,187.52,187.52,187.52,0.29%,,,,,,-0.0115,185,,
