Date,Price,Open,High,Low,Vol.,Change %,,,,Date,Price,Change %,Fake Time ,,Helper 
5/28/2020,"3,029.73","3,046.61","3,068.67","3,023.40",,-0.21%,,,,4/23/2019,"2,933.68",0.88%,222,,315
5/27/2020,"3,036.13","3,015.65","3,036.25","2,969.75",,1.48%,,,,4/24/2019,"2,927.25",-0.22%,223,,314
5/26/2020,"2,991.77","3,004.08","3,021.72","2,988.17",,1.23%,,,,4/25/2019,"2,926.17",-0.04%,224,,313
5/22/2020,"2,955.45","2,948.05","2,956.76","2,933.59",,0.24%,,,,4/26/2019,"2,939.88",0.47%,225,,312
5/21/2020,"2,948.51","2,969.95","2,978.50","2,938.57",,-0.78%,,,,4/29/2019,"2,943.03",0.11%,226,,311
5/20/2020,"2,971.61","2,953.63","2,980.29","2,953.63",,1.67%,,,,4/30/2019,"2,945.83",0.10%,227,,310
5/19/2020,"2,922.94","2,948.59","2,964.21","2,922.35",,-1.05%,,,,5/1/2019,"2,923.73",-0.75%,228,,309
5/18/2020,"2,953.91","2,913.86","2,968.09","2,913.86",,3.15%,,,,5/2/2019,"2,917.52",-0.21%,229,,308
5/15/2020,"2,863.70","2,829.95","2,865.01","2,816.78",,0.39%,,,,5/3/2019,"2,945.64",0.96%,230,,307
5/14/2020,"2,852.50","2,794.54","2,852.80","2,766.64",,1.15%,,,,5/6/2019,"2,932.47",-0.45%,231,,306
5/13/2020,"2,820.00","2,865.86","2,874.14","2,793.15",,-1.75%,,,,5/7/2019,"2,884.05",-1.65%,232,,305
5/12/2020,"2,870.12","2,939.50","2,945.82","2,869.59",,-2.05%,,,,5/8/2019,"2,879.42",-0.16%,233,,304
5/11/2020,"2,930.32","2,915.46","2,944.25","2,903.44",,0.02%,,,,5/9/2019,"2,870.72",-0.30%,234,,303
5/8/2020,"2,929.80","2,908.83","2,932.16","2,902.88",,1.69%,,,,5/10/2019,"2,881.40",0.37%,235,,302
5/7/2020,"2,881.19","2,878.26","2,901.92","2,876.48",,1.15%,,,,5/13/2019,"2,811.87",-2.41%,236,,301
5/6/2020,"2,848.42","2,883.14","2,891.11","2,847.65",,-0.70%,,,,5/14/2019,"2,834.41",0.80%,237,,300
5/5/2020,"2,868.44","2,868.88","2,898.23","2,863.55",,0.90%,,,,5/15/2019,"2,850.96",0.58%,238,,299
5/4/2020,"2,842.74","2,815.01","2,844.24","2,797.85",,0.42%,,,,5/16/2019,"2,876.32",0.89%,239,,298
5/1/2020,"2,830.71","2,869.09","2,869.09","2,821.61",,-2.81%,,,,5/17/2019,"2,859.53",-0.58%,240,,297
4/30/2020,"2,912.43","2,930.91","2,930.91","2,892.47",,-0.92%,,,,5/20/2019,"2,840.23",-0.67%,241,,296
4/29/2020,"2,939.51","2,918.46","2,954.86","2,912.16",,2.66%,,,,5/21/2019,"2,864.36",0.85%,242,,295
4/28/2020,"2,863.39","2,909.96","2,921.15","2,860.71",,-0.52%,,,,5/22/2019,"2,856.27",-0.28%,243,,294
4/27/2020,"2,878.48","2,854.65","2,887.72","2,852.89",,1.47%,,,,5/23/2019,"2,822.24",-1.19%,244,,293
4/24/2020,"2,836.74","2,812.64","2,842.71","2,791.76",,1.39%,,,,5/24/2019,"2,826.06",0.14%,245,,292
4/23/2020,"2,797.80","2,810.42","2,844.90","2,794.26",,-0.05%,,,,5/28/2019,"2,802.39",-0.84%,246,,291
4/22/2020,"2,799.31","2,787.89","2,815.10","2,775.95",,2.29%,,,,5/29/2019,"2,783.02",-0.69%,247,,290
4/21/2020,"2,736.56","2,784.81","2,785.54","2,727.10",,-3.07%,,,,5/30/2019,"2,788.86",0.21%,248,,289
4/20/2020,"2,823.16","2,845.62","2,868.98","2,820.43",,-1.79%,,,,5/31/2019,"2,752.06",-1.32%,249,,288
4/17/2020,"2,874.56","2,842.43","2,879.22","2,830.88",,2.68%,,,,6/3/2019,"2,744.45",-0.28%,250,,287
4/16/2020,"2,799.55","2,799.34","2,806.51","2,764.32",,0.58%,,,,6/4/2019,"2,803.27",2.14%,251,,286
4/15/2020,"2,783.36","2,795.64","2,801.88","2,761.54",,-2.20%,,,,6/5/2019,"2,826.15",0.82%,252,,285
4/14/2020,"2,846.06","2,805.10","2,851.85","2,805.10",,3.06%,,,,6/6/2019,"2,843.49",0.61%,253,,284
4/13/2020,"2,761.63","2,782.46","2,782.46","2,721.17",,-1.01%,,,,6/7/2019,"2,873.34",1.05%,254,,283
4/9/2020,"2,789.82","2,776.99","2,818.57","2,762.36",,1.45%,,,,6/10/2019,"2,886.73",0.47%,255,,282
4/8/2020,"2,749.98","2,685.00","2,760.75","2,663.30",,3.41%,,,,6/11/2019,"2,885.72",-0.03%,256,,281
4/7/2020,"2,659.41","2,738.65","2,756.89","2,657.67",,-0.16%,,,,6/12/2019,"2,879.84",-0.20%,257,,280
4/6/2020,"2,663.68","2,578.28","2,676.85","2,574.57",,7.03%,,,,6/13/2019,"2,891.64",0.41%,258,,279
4/3/2020,"2,488.65","2,514.92","2,538.18","2,459.96",,-1.51%,,,,6/14/2019,"2,886.98",-0.16%,259,,278
4/2/2020,"2,526.90","2,458.54","2,533.22","2,455.79",,2.28%,,,,6/17/2019,"2,889.67",0.09%,260,,277
4/1/2020,"2,470.50","2,498.08","2,522.75","2,447.49",,-4.41%,,,,6/18/2019,"2,917.75",0.97%,261,,276
3/31/2020,"2,584.59","2,614.69","2,641.39","2,571.15",,-1.60%,,,,6/19/2019,"2,926.46",0.30%,262,,275
3/30/2020,"2,626.65","2,558.98","2,631.80","2,545.28",,3.35%,,,,6/20/2019,"2,954.18",0.95%,263,,274
3/27/2020,"2,541.47","2,555.87","2,615.91","2,520.02",,-3.37%,,,,6/21/2019,"2,950.46",-0.13%,264,,273
3/26/2020,"2,630.07","2,501.29","2,637.01","2,500.72",,6.24%,,,,6/24/2019,"2,945.35",-0.17%,265,,272
