Date,Price,Open,High,Low,Vol.,Change %,,,Date,Price,Change %,Helper
3/31/2020,283.23,285.18,290.26,282.09,136.19M,-1.43%,,,4/23/2019,361.14,0.44%,221
3/30/2020,287.35,281.45,288.31,279.62,97.95M,3.25%,,,4/24/2019,359.1,-0.56%,220
3/27/2020,278.3,278.64,284.3,276.26,124.11M,-3.81%,,,4/25/2019,354.45,-1.29%,219
3/26/2020,289.32,279.63,290.35,279.4,140.70M,4.94%,,,4/26/2019,357.37,0.82%,218
3/25/2020,275.71,269.02,287.2,266.23,151.10M,2.20%,,,4/29/2019,356.71,-0.18%,217
3/24/2020,269.78,257.19,271.46,254.74,162.20M,11.63%,,,4/30/2019,359.84,0.88%,216
3/23/2020,241.67,251.06,254.29,240.5,151.10M,-4.91%,,,5/1/2019,353.23,-1.84%,215
3/20/2020,254.16,265.41,265.87,250.33,187.47M,-3.53%,,,5/2/2019,351.31,-0.54%,214
3/19/2020,263.45,254.21,267.51,247.3,157.84M,2.22%,,,5/3/2019,354.79,0.99%,213
3/18/2020,257.74,265.91,267.29,240.45,167.68M,-6.16%,,,5/6/2019,349.89,-1.38%,212
3/17/2020,274.66,261.3,277.36,255.38,173.94M,6.66%,,,5/7/2019,343.52,-1.82%,211
3/16/2020,257.52,271.75,271.75,254.87,173.18M,-11.44%,,,5/8/2019,343.17,-0.10%,210
3/13/2020,290.78,281.2,290.85,270.06,198.03M,6.92%,,,5/9/2019,340.41,-0.80%,209
3/12/2020,271.97,289.9,290.58,271.79,196.29M,-9.61%,,,5/10/2019,344.74,1.27%,208
3/11/2020,300.9,309.67,309.67,296.75,152.44M,-4.76%,,,5/13/2019,337.24,-2.18%,207
3/10/2020,315.95,310,316,300.65,159.39M,3.93%,,,5/14/2019,339.99,0.82%,206
3/9/2020,303.99,321.42,321.42,302.77,173.34M,-9.26%,,,5/15/2019,339.18,-0.24%,205
3/6/2020,335.02,338.43,338.43,328.62,148.54M,-2.62%,,,5/16/2019,343.72,1.34%,204
3/5/2020,344.05,348.62,348.86,341.98,107.89M,-3.22%,,,5/17/2019,342.01,-0.50%,203
3/4/2020,355.49,345.22,355.56,342.8,110.82M,4.01%,,,5/20/2019,337.02,-1.46%,202
3/3/2020,341.78,344.4,351.3,336.93,155.54M,-0.75%,,,5/21/2019,342.11,1.51%,201
3/2/2020,344.38,333.03,344.39,329.74,138.77M,4.15%,,,5/22/2019,339.86,-0.66%,200
2/28/2020,330.67,326.87,330.71,320.55,214.65M,-1.20%,,,5/23/2019,334.66,-1.53%,199
2/27/2020,334.7,346.41,348.83,334.61,165.65M,-4.66%,,,5/24/2019,336.33,0.50%,198
2/26/2020,351.05,354.04,358.81,350.72,122.29M,-0.34%,,,5/28/2019,333.24,-0.92%,197
2/25/2020,352.25,367.9,368.38,351.55,131.30M,-4.30%,,,5/29/2019,333.05,-0.06%,196
2/24/2020,368.08,373.67,373.67,366.65,105.24M,-2.86%,,,5/30/2019,333.44,0.12%,195
2/21/2020,378.91,379.44,380.09,377.92,83.05M,-0.40%,,,5/31/2019,329.32,-1.24%,194
2/20/2020,380.43,378.95,383.05,377.88,90.73M,0.13%,,,6/3/2019,340.58,3.42%,193
2/19/2020,379.92,379.96,381.31,379.66,78.42M,0.20%,,,6/4/2019,349.98,2.76%,192
2/18/2020,379.17,379.98,380.22,377.3,84.90M,-0.23%,,,6/5/2019,352.72,0.78%,191
2/14/2020,380.03,379.92,381.27,378.87,92.54M,0.06%,,,6/6/2019,356.7,1.13%,190
2/13/2020,379.81,381.47,382.29,378.88,81.93M,-0.38%,,,6/7/2019,359.2,0.70%,189
2/12/2020,381.26,380.72,381.84,380.08,72.02M,0.52%,,,6/10/2019,359.72,0.14%,188
2/11/2020,379.27,378.87,382.61,378.87,81.64M,0.51%,,,6/11/2019,359.48,-0.07%,187
2/10/2020,377.33,376.96,378.1,375.97,70.87M,0.02%,,,6/12/2019,360.6,0.31%,186
2/7/2020,377.27,380.14,380.2,376.07,77.20M,-1.46%,,,6/13/2019,362.68,0.58%,185
2/6/2020,382.87,383.94,384.16,381.35,95.42M,-0.08%,,,6/14/2019,360.98,-0.47%,184
2/5/2020,383.18,379.03,383.54,376.63,118.87M,1.86%,,,6/17/2019,357.59,-0.94%,183
2/4/2020,376.17,372.75,377.96,372.43,114.74M,1.74%,,,6/18/2019,360.33,0.77%,182
2/3/2020,369.72,363.21,371.08,363.04,120.28M,2.14%,,,6/19/2019,358.65,-0.47%,181
1/31/2020,361.99,366.61,367.06,360.81,170.00M,-2.21%,,,6/20/2019,362.98,1.21%,180
1/30/2020,370.16,371.01,371.01,365.16,126.25M,-0.59%,,,6/21/2019,361.81,-0.32%,179
