Date,Price,Open,High,Low,Vol.,Change %,,,,,Change %,Helper
3/6/2020,"1,129.02","1,117.35","1,133.04","1,099.87",324.21M,-0.52%,,,,,1.60%,221
3/5/2020,"1,134.90","1,147.52","1,152.39","1,122.56",283.95M,-2.40%,,,,,-0.14%,220
3/4/2020,"1,162.75","1,125.19","1,163.99","1,125.19",321.83M,5.81%,,,,,1.13%,219
3/3/2020,"1,098.88","1,129.71","1,148.88","1,084.37",320.98M,-2.54%,,,,,0.96%,218
3/2/2020,"1,127.57","1,079.05","1,127.62","1,073.26",331.76M,4.83%,,,,,-0.21%,217
2/28/2020,"1,075.66","1,071.03","1,076.21","1,046.39",446.18M,-1.41%,,,,,0.54%,216
2/27/2020,"1,091.03","1,120.15","1,131.20","1,090.74",353.45M,-3.33%,,,,,-0.30%,215
2/26/2020,"1,128.63","1,134.65","1,148.58","1,126.78",267.59M,-0.10%,,,,,0.47%,214
2/25/2020,"1,129.79","1,167.11","1,169.88","1,125.32",276.84M,-2.95%,,,,,0.76%,213
2/24/2020,"1,164.14","1,190.90","1,190.90","1,159.05",259.05M,-3.26%,,,,,0.58%,212
2/21/2020,"1,203.41","1,200.16","1,204.40","1,194.05",176.38M,0.03%,,,,,-1.95%,211
2/20/2020,"1,203.03","1,208.03","1,208.69","1,192.16",178.60M,-0.62%,,,,,0.12%,210
2/19/2020,"1,210.55","1,207.81","1,212.18","1,207.06",155.02M,0.45%,,,,,-0.21%,209
2/18/2020,"1,205.08","1,208.37","1,210.65","1,201.03",174.54M,-0.37%,,,,,-0.07%,208
2/14/2020,"1,209.53","1,209.08","1,209.54","1,203.35",159.34M,0.13%,,,,,-1.74%,207
2/13/2020,"1,207.93","1,209.57","1,213.16","1,205.74",178.47M,-0.54%,,,,,0.41%,206
2/12/2020,"1,214.51","1,215.60","1,219.87","1,209.69",206.22M,0.14%,,,,,0.27%,205
2/11/2020,"1,212.83","1,208.68","1,213.92","1,207.73",155.35M,0.62%,,,,,0.75%,204
2/10/2020,"1,205.41","1,194.57","1,205.45","1,193.97",187.00M,0.51%,,,,,-0.17%,203
2/7/2020,"1,199.27","1,208.75","1,210.04","1,197.61",194.15M,-0.81%,,,,,-0.04%,202
2/6/2020,"1,209.05","1,213.31","1,213.98","1,203.71",204.51M,0.11%,,,,,0.82%,201
2/5/2020,"1,207.71","1,191.00","1,211.81","1,189.71",239.32M,1.97%,,,,,0.63%,200
2/4/2020,"1,184.41","1,173.52","1,189.56","1,173.52",190.64M,1.70%,,,,,-0.37%,199
2/3/2020,"1,164.64","1,161.11","1,172.63","1,161.11",207.90M,0.93%,,,,,0.12%,198
1/31/2020,"1,153.96","1,172.33","1,173.20","1,150.37",228.46M,-1.99%,,,,,-1.41%,197
1/30/2020,"1,177.34","1,179.38","1,179.38","1,167.34",199.62M,-0.78%,,,,,-0.95%,196
1/29/2020,"1,186.54","1,192.02","1,195.07","1,186.44",166.19M,-0.28%,,,,,0.52%,195
1/28/2020,"1,189.86","1,186.08","1,194.69","1,184.35",210.46M,0.48%,,,,,-0.78%,194
1/27/2020,"1,184.21","1,184.04","1,188.65","1,179.11",200.24M,-0.76%,,,,,0.30%,193
1/24/2020,"1,193.25","1,214.67","1,214.97","1,190.33",211.28M,-1.68%,,,,,1.69%,192
1/23/2020,"1,213.60","1,217.65","1,218.28","1,205.42",192.34M,-0.50%,,,,,0.67%,191
1/22/2020,"1,219.64","1,219.24","1,223.74","1,218.10",162.77M,0.12%,,,,,0.32%,190
1/21/2020,"1,218.20","1,215.49","1,220.99","1,214.10",191.81M,0.04%,,,,,1.28%,189
1/17/2020,"1,217.69","1,218.04","1,218.98","1,214.59",191.96M,0.06%,,,,,0.31%,188
1/16/2020,"1,216.96","1,214.87","1,217.77","1,211.06",148.55M,0.52%,,,,,-0.25%,187
1/15/2020,"1,210.62","1,201.23","1,213.83","1,201.23",173.47M,0.85%,,,,,0.51%,186
1/14/2020,"1,200.43","1,189.92","1,200.59","1,187.92",218.99M,0.55%,,,,,-0.11%,185
1/13/2020,"1,193.90","1,198.14","1,198.72","1,189.82",168.88M,-0.35%,,,,,-0.29%,184
1/10/2020,"1,198.13","1,201.40","1,204.15","1,196.19",136.97M,0.04%,,,,,0.47%,183
1/9/2020,"1,197.64","1,194.14","1,200.93","1,193.97",160.16M,0.47%,,,,,0.82%,182
1/8/2020,"1,192.03","1,185.38","1,197.80","1,184.71",171.13M,0.64%,,,,,0.96%,181
1/7/2020,"1,184.41","1,184.56","1,185.90","1,178.59",154.61M,-0.24%,,,,,0.40%,180
1/6/2020,"1,187.27","1,176.88","1,187.54","1,175.34",145.36M,0.59%,,,,,0.44%,179
1/3/2020,"1,180.33","1,178.35","1,186.62","1,173.23",129.62M,-0.85%,,,,,-0.50%,178
1/2/2020,"1,190.45","1,190.89","1,191.18","1,181.81",141.43M,0.19%,,,,,-0.41%,177
12/31/2019,"1,188.20","1,183.78","1,188.56","1,180.51",107.82M,0.30%,,,,,-1.25%,176
12/30/2019,"1,184.66","1,192.63","1,194.80","1,183.44",92.47M,-0.66%,,,,,0.62%,175
12/27/2019,"1,192.49","1,193.51","1,194.31","1,189.92",83.46M,0.06%,,,,,0.37%,174
12/26/2019,"1,191.73","1,193.69","1,195.25","1,188.21",77.00M,-0.12%,,,,,0.57%,173
12/24/2019,"1,193.14","1,193.98","1,194.49","1,190.60",43.34M,-0.10%,,,,,0.43%,172
